draw,date,n1,n2,n3,n4,n5,n6,bonus
675,20151107,1,8,11,15,18,45,7
676,20151114,1,8,17,34,39,45,27
677,20151121,12,15,24,36,41,44,42
678,20151128,4,5,6,12,25,37,45
679,20151205,3,5,7,14,26,34,35
680,20151212,4,10,19,29,32,42,30
681,20151219,21,24,27,29,43,44,7
682,20151226,17,23,27,35,38,43,2
683,20160102,6,13,20,27,28,40,15
684,20160109,1,11,15,17,25,39,40
685,20160116,6,7,12,28,38,40,18
686,20160123,7,12,15,24,25,43,13
687,20160130,1,8,10,13,28,42,45
688,20160206,5,15,22,23,34,35,2
689,20160213,7,17,19,30,36,38,34
690,20160220,24,25,33,34,38,39,43
691,20160227,15,27,33,35,43,45,16
